paper name,abstract,keywords,link
Comparing the Utility of Different Classification Schemes for Emotive Language Analysis,"In this paper we investigated the utility of different classification schemes for emotive language analysis with the aim of providing experimental justification for the choice of scheme for classifying emotions in free text. We compared six schemes: (1) Ekman's six basic emotions, (2) Plutchik's wheel of emotion, (3) Watson and Tellegen's Circumplex theory of affect, (4) the Emotion Annotation Representation Language (EARL), (5) WordNet–Affect, and (6) free text. To measure their utility, we investigated their ease of use by human annotators as well as the performance of supervised machine learning. We assembled a corpus of 500 emotionally charged text documents. The corpus was annotated manually using an online crowdsourcing platform with five independent annotators per document. Assuming that classification schemes with a better balance between completeness and complexity are easier to interpret and use, we expect such schemes to be associated with higher inter–annotator agreement. We used Krippendorff's alpha coefficient to measure inter–annotator agreement according to which the six classification schemes were ranked as follows: (1) six basic emotions (α = 0.483), (2) wheel of emotion (α = 0.410), (3) Circumplex (α = 0.312), EARL (α = 0.286), (5) free text (α = 0.205), and (6) WordNet–Affect (α = 0.202). However, correspondence analysis of annotations across the schemes highlighted that basic emotions are oversimplified representations of complex phenomena and as such likely to lead to invalid interpretations, which are not necessarily reflected by high inter-annotator agreement. To complement the result of the quantitative analysis, we used semi–structured interviews to gain a qualitative insight into how annotators interacted with and interpreted the chosen schemes. The size of the classification scheme was highlighted as a significant factor affecting annotation. In particular, the scheme of six basic emotions was perceived as having insufficient coverage of the emotion space forcing annotators to often resort to inferior alternatives, e.g. using happiness as a surrogate for love. On the opposite end of the spectrum, large schemes such as WordNet–Affect were linked to choice fatigue, which incurred significant cognitive effort in choosing the best annotation. In the second part of the study, we used the annotated corpus to create six training datasets, one for each scheme. The training data were used in cross–validation experiments to evaluate classification performance in relation to different schemes. According to the F-measure, the classification schemes were ranked as follows: (1) six basic emotions (F = 0.410), (2) Circumplex (F = 0.341), (3) wheel of emotion (F = 0.293), (4) EARL (F = 0.254), (5) free text (F = 0.159) and (6) WordNet–Affect (F = 0.158). Not surprisingly, the smallest scheme was ranked the highest in both criteria. Therefore, out of the six schemes studied here, six basic emotions are best suited for emotive language analysis. However, both quantitative and qualitative analysis highlighted its major shortcoming – oversimplification of positive emotions, which are all conflated into happiness. Further investigation is needed into ways of better balancing positive and negative emotions.","Annotation, Crowdsourcing, Text classification, Sentiment analysis, Supervised machine learning",https://link.springer.com//article/10.1007/s00357-019-9307-0
Card Sorting Data Collection Methodology: How Many Participants Is Most Efficient?,"Pairwise similarity judgments and card sorting methodologies are different ways of generating data for similarity matrices used in various analyses such as multidimensional scaling and cluster analysis. Pairwise similarity judgments are considered the gold standard methodology, but can be cumbersome for large numbers of stimuli given the geometric increase in number of judgments necessary to fill the matrix. Card sorting methods provide a more expedient means of gathering this information, although they typically generate only binary data. Nonetheless, aggregated matrices generated from card sorts approximate pairwise similarity matrices. The current study used pairwise similarity and card sorting results from two existing studies that used the same stimuli to determine the optimal number of participants needed in a card sorting task to approximate the similarity matrix of pairwise data collection. In these studies, approximately 10–15 participants provided optimal estimation of the similarity matrix, with minimal increases for higher numbers of participants.","Pairwise similarity matrix, Card sorting, Power analysis, Multidimensional scaling, Cluster analysis",https://link.springer.com//article/10.1007/s00357-018-9292-8
Effects of Distance and Shape on the Estimation of the Piecewise Growth Mixture Model,"The piecewise growth mixture model is used in longitudinal studies to tackle non-continuous trajectories and unobserved heterogeneity in a compound way. This study investigated how factors such as latent distance and shape influence the model. Two simulation studies were used exploring the 2- and 3-class situation with sample size, latent distance (Mahalanobis distance), and shape being considered as the influencing factor. The results of two simulations showed that a non-parallel shape led to a slightly better overall model fit. Parameter estimation is affected by the shape, mainly through the parameter differences between latent classes.","Piecewise growth mixture model (PGMM), Latent distance, Shape, Parameter difference",https://link.springer.com//article/10.1007/s00357-018-9291-9
Exploratory Visual Inspection of Category Associations and Correlation Estimation in Multidimensional Subspaces,"In this paper, we aimed to estimate associations among categories in a multi-way contingency table. To simplify estimation and interpretation of results, we stacked multiple variables to form a two-way stacked table and analyzed it using the biplot in correspondence analysis (CA) paradigm. The correspondence analysis biplot allowed visual inspection of category associations in a twodimensional plane, and the CA solution numerically estimated the category relationships. We utilized parallel analysis and identified two statistically meaningful dimensions with which a plane was constructed. In the plane, we examined metric space mapping, which was converted into correlations, between school districts and categories of school-relevant variables. The results showed differential correlation patterns among school districts and this correlational information may be useful for stake holders or policy makers to pinpoint possible causes of low school performance and school-relevant behaviors.","Correspondence analysis, Biplot, Parallel analysis for corresponddence analysis, Associations among categories, New York City school districts",https://link.springer.com//article/10.1007/s00357-018-9277-7
Hierarchies from Lowest Stable Ancestors in Nonbinary Phylogenetic Networks,"The reconstruction of the evolutionary history of a set of species is an important problem in classification and phylogenetics. Phylogenetic networks are a generalization of evolutionary trees that are used to represent histories for species that have undergone reticulate evolution, an important evolutionary force for many organisms (e.g. plants or viruses). In this paper, we present a novel approach to understanding the structure of networks that are not necessarily binary. More specifically, we define the concept of a closed set and show that the collection of closed sets of a network forms a hierarchy, and that this hierarchy can be deduced from either the subtrees or subnetworks on all 3-subsets. This allows us to also show that closed sets generalize the concept of the SN-sets of a binary network, sets which have proven very useful in elucidating the structure of binary networks. We also characterize the minimal closed sets (under set inclusion) for a special class of networks (2-terminal networks). Taken together, we anticipate that our results should be useful for the development of new phylogenetic network reconstruction algorithms.","Phylogenetic network, Hierarchy, Lower Stable Ancestor, Nonbinary network",https://link.springer.com//article/10.1007/s00357-018-9279-5
On Fractionally-Supervised Classification: Weight Selection and Extension to the Multivariate t-Distribution,"Recent work on fractionally-supervised classification (FSC), an approach that allows classification to be carried out with a fractional amount of weight given to the unlabelled points, is further developed in two respects. The primary development addresses a question of fundamental importance over how to choose the amount of weight given to the unlabelled points. The resolution of this matter is essential because it makes FSC more readily applicable to real problems. Interestingly, the resolution of the weight selection problem opens up the possibility of a different approach to model selection in model-based clustering and classification. A secondary development demonstrates that the FSC approach can be effective beyond Gaussian mixture models. To this end, an FSC approach is illustrated using mixtures of multivariate t-distributions.","Fractionally-supervised classification, Weight selection, Multivariate t-distribution",https://link.springer.com//article/10.1007/s00357-018-9280-z
On the Logistic Behaviour of the Topological Ultrametricity of Data,"Recently, it has been observed that topological ultrametricity of data can be expressed as an integral over a function which describes local ultrametricity. It was then observed empirically that this function begins as a sharply decreasing function, in order to increase again back to one. After providing a method for estimating the falling part of the local ultrametricity of data, empirical evidence is given for its logistic behaviour in relation to the number of connected components of the Vietoris-Rips graphs involved. The result is a functional dependence between that number and the number of maximal cliques. Further, it turns out that the logistic parameters depend linearly on the datasize. These observations are interpreted in terms of the Erdős-Rényi model for random graphs. Thus the findings allow to define a percolationbased index for almost ultrametricity which can be estimated in O(N2 logN) time which is more efficient than most ultrametricity indices.","Ultrametricty, Random graphs, Percolation, Topological data analysis, Logistic function",https://link.springer.com//article/10.1007/s00357-018-9281-y
Basic Co-Occurrence Latent Semantic Vector Space Model,"The vector representation is one of the important parts in document clustering or classification, which can quantify the text. In this paper, a novel Cooccurrence Latent Semantic Vector Space Model (CLSVSM) is presented and the co-occurrence distribution is further studied. This model is developed based on the Vector Space Model (VSM), embedding the co-occurrence latent semantic of the documents’ keywords to represent their vectors. First, experiments were conducted to test the model performance, using documents from Chinese National Knowledge Infrastructure (CNKI). The results showed the Entropy (E), Purity (P) and F1 value of CLMSVM is 20% better than in VSM in the documents clustering testing, which reveals that CLSVSM can improve the accuracy of clustering of documents, meanwhile reducing sparse degree of vectors. Second, it is the best to estimate the latent semantic: maximum (MAX), minimum (MIN), average (AVE), and median (MED)? More experiments are performed to compare the four estimators. The results indicate that Max and AVE are preferred method, while MIN method is the worst, which coincided with the discussion. Some essential questions were discussed at the end. These questions related to the trends of co-occurrence frequency, the function of co-occurrence intensity and its distribution, which reinforced the model.","CLSVSM, VSM, Clustering, High-dimensional vector, Co-occurrence, Co-word",https://link.springer.com//article/10.1007/s00357-018-9283-9
Conditional Independence and Dimensionality of Cognitive Diagnostic Models: a Test for Model Fit,"Nonparametric cognitive diagnosis methods are useful in cognitive diagnosis modeling for calibration efficiency, especially when sample size is small or large, or the latent attributes are more complex. This article proposes the Mantel-Haenszel chi-squared statistic as an index for detecting the misspecification of latent attributes as well as testlet effects in nonparametric cognitive diagnosis methods. The proposed theoretical considerations are augmented by simulation studies conducted to assess the performance of the Mantel-Haenszel statistic under various conditions within the nonparametric diagnosis framework, with a special focus on situations were the set of latent abilities assumed to underlie the data was underspecified.","Cognitive diagnosis model, Nonparametric approach, Local independence, Qmatrix validation",https://link.springer.com//article/10.1007/s00357-018-9287-5
A Reliable Small Sample Classification Algorithm by Elman Neural Network Based on PLS and GA,"Aiming at the small sample with high-feature dimension and few numbers will cause a serious problem if simply using the traditional Elman neural network to deal with the small sample; these problems include poor learning ability, the redundancy structure, and incomplete training; these defects will result in lower operating efficiency and poor recognition precision. In this paper, combining the theory of partial least squares (PLS) and genetic algorithm (GA), as well as the nature of Elman neural network, and an optimized Elman neural network classification algorithm based on PLS and GA (PLS-GA-Elman) is established. The new algorithm reduces the feature dimension of small samples by PLS, the relatively ideal low-dimensional data is obtained, and the purpose reduces the neural network’s inputs and simplifies its structure. Using GA to optimize the connection weights, threshold values, and the number of hidden neurons and adopting the optimized way of encoding respectively and evolving simultaneously can improve the neural network incomplete training condition, leading to fewer number of samples and improvement in training speed and generalization ability; this ensures the optimal Elman neural network algorithm. A new algorithm based on twice consecutive optimization was the basis for a precise classification model. The results of experimental analysis illustrate that operating efficiency and classification precision of the new algorithm have been improved.","Small sample, Elman neural network, Partial least squares, Genetic algorithm, PLS-GA-Elman algorithm",https://link.springer.com//article/10.1007/s00357-018-9288-4
Modeling Community Structure and Topics in Dynamic Text Networks,"The last decade has seen great progress in both dynamic network modeling and topic modeling. This paper draws upon both areas to create a bespoke Bayesian model applied to a dataset consisting of the top 467 US political blogs in 2012, their posts over the year, and their links to one another. Our model allows dynamic topic discovery to inform the latent network model and the network structure to facilitate topic identification. Our results find complex community structure within this set of blogs, where community membership depends strongly upon the set of topics in which the blogger is interested. We examine the time varying nature of the Sensational Crime topic, as well as the network properties of the Election News topic, as notable and easily interpretable empirical examples.","Networks, Natural language processing, Topic modeling, Political blogs, Community detection",https://link.springer.com//article/10.1007/s00357-018-9289-3
Distance and Consensus for Preference Relations Corresponding to Ordered Partitions,"Ranking is an important part of several areas of contemporary research, including social sciences, decision theory, data analysis, and information retrieval. The goal of this paper is to align developments in quantitative social sciences and decision theory with the current thought in Computer Science, including a few novel results. Specifically, we consider binary preference relations, the so-called weak orders that are in one-to-one correspondence with rankings. We show that the conventional symmetric difference distance between weak orders, considered as sets of ordered pairs, coincides with the celebrated Kemeny distance between the corresponding rankings, despite the seemingly much simpler structure of the former. Based on this, we review several properties of the geometric space of weak orders involving the ternary relation “between,” and contingency tables for cross-partitions. Next, we reformulate the consensus ranking problem as a variant of finding an optimal linear ordering, given a correspondingly defined consensus matrix. The difference is in a subtracted term, the partition concentration that depends only on the distribution of the objects in the individual parts. We apply our results to the conventional Likert scale to show that the Kemeny consensus rule is rather insensitive to the data under consideration and, therefore, should be supplemented with more sensitive consensus schemes.","Ranking, Tied ranking, Ordered partition, Weak order, Distance, Consensus, Muchnik test",https://link.springer.com//article/10.1007/s00357-018-9290-x
Multiscale Clustering for Functional Data,"In an era of massive and complex data, clustering is one of the most important procedures for understanding and analyzing unstructured multivariate data. Classical methods such as K-means and hierarchical clustering, however, are not efficient in grouping data that are high dimensional and have inherent multiscale structures. This paper presents new clustering procedures that can adapt to multiscale characteristics and high dimensionality of data. The proposed methods are based on a novel combination of multiresolution analysis and functional data analysis. As the core of the methodology, a clustering approach using the concept of multiresolution analysis may reflect both the global trend and local activities of data, and functional data analysis handles the high-dimensional data efficiently. Practical algorithms to implement the proposed methods are further discussed. The empirical performance of the proposed methods is evaluated through numerical studies including a simulation study and real data analysis, which demonstrates promising results of the proposed clustering.","Empirical mode decomposition, Functional data, High-dimensional data, Multiresolution analysis, Wavelet transform",https://link.springer.com//article/10.1007/s00357-019-09313-9
Growth Mixture Modeling with Measurement Selection,"Growth mixture models are an important tool for detecting group structure in repeated measures data. Unlike traditional clustering methods, they explicitly model the repeated measurements on observations, and the statistical framework they are based on allows for model selection methods to be used to select the number of clusters. However, the basic growth mixture model makes the assumption that all of the measurements in the data have grouping information that separate the clusters. In other clustering contexts, it has been shown that including non-clustering variables in clustering procedures can lead to poor estimation of the group structure both in terms of the number of clusters and cluster membership/parameters. In this paper, we present an extension of the growth mixture model that allows for incorporation of stepwise variable selection based on the work done by Maugis, Celeux, and Martin-Magniette (2009) and Raftery and Dean (2006). Results presented on a simulation study suggest that the method performs well in correctly selecting the clustering variables and improves on recovery of the cluster structure compared with the basic growth mixture model. The paper also presents an application of the model to a clinical study dataset and concludes with a discussion and suggestions for directions of future work in this area.","Cluster analysis, Growth mixture model, Repeated measurements, Longitudinal data, Measurement selection",https://link.springer.com//article/10.1007/s00357-018-9275-9
A Mixture of Coalesced Generalized Hyperbolic Distributions,"A mixture of multiple scaled generalized hyperbolic distributions (MMSGHDs) is introduced. Then, a coalesced generalized hyperbolic distribution (CGHD) is developed by joining a generalized hyperbolic distribution with a multiple scaled generalized hyperbolic distribution. After detailing the development of the MMSGHDs, which arises via implementation of a multi-dimensional weight function, the density of the mixture of CGHDs is developed. A parameter estimation scheme is developed using the ever-expanding class of MM algorithms and the Bayesian information criterion is used for model selection. The issue of cluster convexity is examined and a special case of the MMSGHDs is developed that is guaranteed to have convex clusters. These approaches are illustrated and compared using simulated and real data. The identifiability of the MMSGHDs and the mixture of CGHDs are discussed in an appendix.","Clustering, Coalesced distributions, Convexity, Finite mixture models, Generalized hyperbolic distribution, Mixture of mixtures, MM algorithm, Multiple scaled distributions",https://link.springer.com//article/10.1007/s00357-019-09319-3
Comparison of Similarity Measures for Categorical Data in Hierarchical Clustering,"This paper deals with similarity measures for categorical data in hierarchical clustering, which can deal with variables with more than two categories, and which aspire to replace the simple matching approach standardly used in this area. These similarity measures consider additional characteristics of a dataset, such as a frequency distribution of categories or the number of categories of a given variable. The paper recognizes two main aims. First, to compare and evaluate the selected similarity measures regarding the quality of produced clusters in hierarchical clustering. Second, to propose new similarity measures for nominal variables. All the examined similarity measures are compared regarding the quality of the produced clusters using the mean ranked scores of two internal evaluation coefficients. The analysis is performed on the generated datasets, and thus, it allows determining in which particular situations a certain similarity measure is recommended for use.","Similarity measures, Nominal variables, Hierarchical cluster analysis, Comparison, Evaluation",https://link.springer.com//article/10.1007/s00357-019-09317-5
Simultaneous Method of Orthogonal Non-metric Non-negative Matrix Factorization and Constrained Non-hierarchical Clustering,"For multivariate categorical data, it is important to detect both clustering structures and low dimensions such that clusters are discriminated. This is because it is easy to interpret the features of clusters through the estimated low dimensions. It is sure that these existing methods for dimensional reduction clustering are useful to achieve such purpose; however, the interpretation sometimes becomes complicated due to the sign of the estimated parameters. Thus, we propose new dimensional reduction clustering with non-negativity constraints for all parameters. The proposed method has several advantages. First, when the features of clusters are interpreted, it is easier to interpret the clusters since effects of sign should not be considered. In addition, from the non-negativity and orthogonality constraints, the estimated components become perfect simple structure, which is interpretable descriptions. Second, we showed that the clustering results are not inferior to these existing methods through the simulations, although the constraints for the proposed method are strong.","Dimensional reduction, Perfect simple structure, Categorical, K-mode clustering",https://link.springer.com//article/10.1007/s00357-018-9284-8
Optimal Landmark Point Selection Using Clustering for Manifold Modeling and Data Classification,"As data volume and dimensions continue to grow, effective and efficient methods are needed to obtain the low dimensional features of the data that describe its true structure. Most nonlinear dimensionality reduction methods (NLDR) utilize the Euclidean distance between the data points to form a general idea of the data manifold structure. Isomap uses the geodesic distance between data points and then uses classical multidimensional scaling(cMDS) to obtain low dimensional features. As the data size increases Isomap becomes complex. To overcome this disadvantage, Landmark Isomap (L-Isomap) uses selected data points called landmark points and finds the geodesic distance from these points to all other non-landmark points. Traditionally, landmark points are randomly selected without considering any statistical property of the data manifold. We contend that the quality of the features extracted is dependent on the selection of the landmark points. In applications such as data classification, the net accuracy is dependent on the quality of the features selected, and hence landmark points selection might play a crucial role. In this paper, we propose a clustering approach to obtain the landmark points. These new points are now used to represent the data, and Fisher’s linear discriminants are used for classification. The proposed method is tested with different datasets to verify the efficacy of the approach.","Clustering, Landmark isomap, Fisher’s linear discrimant analysis, Geodesic, Feature extraction, Manifolds, MDS",https://link.springer.com//article/10.1007/s00357-018-9285-7
Robustification of Gaussian Bayes Classifier by the Minimum β-Divergence Method,"The goal of classification is to classify new objects into one of the several known populations. A common problem in most of the existing classifiers is that they are very much sensitive to outliers. To overcome this problem, several author’s attempt to robustify some classifiers including Gaussian Bayes classifiers based on robust estimation of mean vectors and covariance matrices. However, these type of robust classifiers work well when only training datasets are contaminated by outliers. They produce misleading results like the traditional classifiers when the test data vectors are contaminated by outliers as well. Most of them also show weak performance if we gradually increase the number of variables in the dataset by fixing the sample size. As the remedies of these problems, an attempt is made to propose a highly robust Gaussian Bayes classifiers by the minimum β-divergence method. The performance of the proposed method depends on the value of tuning parameter β, initialization of Gaussian parameters, detection of outlying test vectors, and detection of their variable-wise outlying components. We have discussed some techniques in this paper to improve the performance of the proposed method by tackling these issues. The proposed classifier reduces to the MLE-based Gaussian Bayes classifier when β → 0. The performance of the proposed method is investigated using both synthetic and real datasets. It is observed that the proposed method improves the performance over the traditional and other robust linear classifiers in presence of outliers. Otherwise, it keeps equal performance.","Classification, Gaussian Bayes classifier, Minimum β-divergence estimators, β-weight function, Outlier detection, Robustness",https://link.springer.com//article/10.1007/s00357-019-9306-1
Multiclass Classification Based on Multi-criteria Decision-making,"Lots of real-world problems require multiclass classification. Since most general classification methods are originally introduced for binary problems (including two classes), they should be extended to multiclass problems. A solution proposed for multiclass problems is to decompose such problems to several binary ones and then combine the results obtained from smaller problems as a tree-based structure to obtain the final solution. In this study, a novel method which uses VlseKriterijumska optimizacija I Kompromisno Resenje multi-criteria decision-making was proposed to build the best directed binary tree with minimum error. The proposed method is independent of classifier; nevertheless, in the current experiments, the support vector machine was employed as the base classifier. The proposed method was tested on datasets and the results were compared with other methods. It can be seen that it improves precision of predictions significantly.","Multiclass classification, Multi-criteria decision-making, Hierarchical decomposition, Decision-making criterion",https://link.springer.com//article/10.1007/s00357-018-9286-6
